Month,Year,NumZombie,NumRabbits,R_Height,Temperature,P_Height
0,2023,2,1,12.7,1.96281,28.1665
1,2023,1,2,10.2773,3.52459,32.2425
2,2023,0,3,5.65621,2.89625,42.6744
3,2023,1,2,0,12.5054,42.9896
4,2023,0,1,29.4184,13.2295,35.5281
5,2023,0,2,69.5097,28.2194,41.6051
6,2023,1,3,64.6956,27.3028,32.894
7,2023,0,4,57.6501,29.992,24.6636
8,2023,1,5,47.5394,26.0307,19.3847
9,2023,2,6,35.8071,20.6386,19.1991
10,2023,3,7,35.0918,14.2165,24.8136
11,2023,2,8,57.3885,5.40993,20.9079
0,2024,3,9,38.3656,3.46187,28.2733
1,2024,4,10,15.9149,-0.629377,38.1842
2,2024,5,9,0,2.28661,41.144
3,2024,4,8,0,16.5961,39.9586
4,2024,3,7,27.2796,13.4714,45.1376
5,2024,2,8,47.7816,20.0429,41.291
6,2024,3,9,52.6044,22.3349,36.1643
7,2024,4,10,41.1973,28.8369,32.786
8,2024,5,11,15.9628,19.8946,23.2934
9,2024,4,10,9.88294,18.0965,25.4515
10,2024,5,9,19.6579,12.1328,16.5594
11,2024,4,8,16.6585,12.9664,22.1806
0,2025,3,7,27.315,6.83049,23.0414
1,2025,2,8,12.917,1.83684,32.792
2,2025,3,7,0,3.2317,36.8048
3,2025,2,6,0,15.9719,38.4285
4,2025,3,5,34.6353,21.5261,43.6313
5,2025,2,6,36.4031,23.2694,36.3337
6,2025,3,7,28.5451,27.4308,28.2761
7,2025,2,8,11.2502,29.7449,26.3853
8,2025,3,7,0,26.8135,21.0085
9,2025,2,6,0,22.4293,25.2485
10,2025,3,5,0,15.7606,22.5035
11,2025,2,4,26.2509,11.4231,27.9809
0,2026,1,5,42.8148,7.10554,23.5197
1,2026,2,6,34.1286,5.23257,37.7546
2,2026,3,7,20.485,6.78843,36.839
3,2026,2,8,6.90471,11.3644,43.717
4,2026,3,7,12.5209,15.5431,42.5921
5,2026,2,6,41.7924,22.6524,33.7698
6,2026,3,7,36.438,23.2204,31.175
7,2026,2,8,26.0071,23.4525,26.6011
8,2026,3,9,11.6345,26.8294,21.4135
9,2026,4,8,0,21.4894,18.4649
10,2026,3,7,0,18.1948,22.0161
11,2026,2,6,12.7249,8.82005,23.3921
0,2027,3,5,6.77097,8.53558,24.7967
1,2027,2,4,2.67009,-0.332722,35.4465
2,2027,1,3,0,4.34227,35.5631
3,2027,0,2,0,15.6836,37.3957
4,2027,1,1,45.4285,16.3115,35.8301
5,2027,0,2,92.7508,24.0522,36.8201
6,2027,1,3,92.5569,22.0208,34.9947
7,2027,0,4,98.0434,31.3986,31.8442
8,2027,1,5,87.898,19.3693,28.3534
9,2027,2,6,104.456,13.1866,17.0905
10,2027,3,7,114.177,12.9351,22.1022
11,2027,2,8,127.11,13.1338,24.0896
0,2028,3,9,141.048,6.82894,29.6282
1,2028,4,10,122.268,3.29023,37.3231
2,2028,5,11,97.2542,8.03625,41.9071
3,2028,4,12,76.9555,10.2699,37.3371
4,2028,5,13,66.9217,18.1182,43.4086
5,2028,6,14,71.226,19.6533,37.8095
6,2028,7,15,64.9199,29.7671,28.6816
7,2028,6,16,26.8878,26.0617,23.2104
8,2028,7,15,0,27.8891,21.2079
9,2028,6,14,0,20.495,16.2571
10,2028,7,13,0,16.2489,18.0528
11,2028,6,12,0,5.59056,23.2201
0,2029,5,11,0,3.22504,25.8996
